value,label,index
1204.625,0,0
1182.25,0,1
1155.1875,0,2
1178.75,0,3
1151.375,0,4
1155.6875,0,5
1163.4375,0,6
1133.125,0,7
1171.75,0,8
1151.6875,0,9
1208.4375,0,10
1172.0,0,11
1178.4375,0,12
1200.4375,0,13
1222.1875,0,14
1186.4375,0,15
1212.6875,0,16
1168.8125,0,17
1189.5,0,18
1202.75,0,19
1197.4375,0,20
1142.4375,0,21
1170.4375,0,22
1189.9375,0,23
1151.75,0,24
1179.3125,0,25
1113.875,0,26
1195.9375,0,27
1160.75,0,28
1136.9375,0,29
1164.8125,0,30
1155.3125,0,31
1181.125,0,32
1133.25,0,33
1164.9375,0,34
1158.625,0,35
1173.4375,0,36
1230.0,0,37
1154.75,0,38
1173.8125,0,39
1230.0625,0,40
1159.375,0,41
1158.9375,0,42
1179.25,0,43
1152.5,0,44
1112.125,0,45
1161.375,0,46
1110.1875,0,47
1120.75,0,48
1171.8125,0,49
1158.0,0,50
1179.1875,0,51
1126.6875,0,52
1152.4375,0,53
1141.0625,0,54
1125.875,0,55
1206.625,0,56
1153.625,0,57
1146.4375,0,58
1178.4375,0,59
1187.875,0,60
1193.25,0,61
1164.3125,0,62
1128.75,0,63
1140.6875,0,64
1174.9375,0,65
1177.5,0,66
1163.0,0,67
1178.3125,0,68
1226.3125,0,69
1122.3125,0,70
1144.375,0,71
1152.5625,0,72
1176.4375,0,73
1183.25,0,74
1160.9375,0,75
1173.8125,0,76
1172.3125,0,77
1179.9375,0,78
1184.6875,0,79
1193.1875,0,80
1178.1875,0,81
1143.75,0,82
1202.1875,0,83
1192.75,0,84
1135.8125,0,85
1180.625,0,86
1148.3125,0,87
1133.3125,0,88
1148.0625,0,89
1156.4375,0,90
1186.1875,0,91
1110.9375,0,92
1162.625,0,93
1198.3125,0,94
1173.9375,0,95
1215.125,0,96
1168.8125,0,97
1147.5,0,98
1174.4375,0,99
1176.875,0,100
1172.3125,0,101
1124.8125,0,102
1137.875,0,103
1116.6875,0,104
1142.1875,0,105
1181.4375,0,106
1147.75,0,107
1158.625,0,108
1173.6875,0,109
1229.5,0,110
1165.5625,0,111
1121.75,0,112
1173.0625,0,113
1210.125,0,114
1213.5625,0,115
1195.75,0,116
1176.625,0,117
1137.375,0,118
1208.9375,0,119
1199.1875,0,120
1246.1875,0,121
1170.375,0,122
1174.125,0,123
1184.3125,0,124
1190.6875,0,125
1178.25,0,126
1145.5625,0,127
1194.75,0,128
1187.875,0,129
1211.0625,0,130
1165.5,0,131
1182.4375,0,132
1184.6875,0,133
1181.0625,0,134
1171.9375,0,135
1117.375,0,136
1154.5,0,137
1190.625,0,138
1180.8125,0,139
1181.1875,0,140
1218.375,0,141
1207.6875,0,142
1174.6875,0,143
1188.0,0,144
1207.75,0,145
1177.375,0,146
1233.3125,0,147
1161.0,0,148
1201.5625,0,149
1192.9375,0,150
1196.125,0,151
1168.125,0,152
1190.625,0,153
1158.5625,0,154
1222.5625,0,155
1173.625,0,156
1185.1875,0,157
1215.0625,0,158
1238.3125,0,159
1223.75,0,160
1181.25,0,161
1152.9375,0,162
1181.3125,0,163
1220.1875,0,164
1161.125,0,165
1227.25,0,166
1173.0625,0,167
1212.625,0,168
1214.625,0,169
1206.0625,0,170
1172.93335,0,171
1180.866699,0,172
1195.6875,0,173
1144.3125,0,174
1192.75,0,175
1155.1875,0,176
1175.875,0,177
1188.8125,0,178
