value,label,index
8140.0,0,0
7861.0,0,1
7628.0,0,2
7335.0,0,3
7517.0,0,4
7360.0,0,5
7349.0,0,6
7535.0,0,7
7592.0,0,8
7578.0,0,9
7601.0,0,10
7466.0,0,11
7284.0,0,12
7197.0,0,13
7414.0,0,14
7066.0,0,15
7153.0,0,16
7240.0,0,17
7141.0,0,18
7172.0,0,19
7171.0,0,20
7161.0,0,21
7170.0,0,22
7457.0,0,23
8656.0,0,24
8875.0,0,25
9073.0,0,26
8328.0,0,27
7604.0,0,28
7667.0,0,29
7526.0,0,30
7298.0,0,31
7433.0,0,32
7407.0,0,33
7365.0,0,34
7091.0,0,35
7136.0,0,36
7202.0,0,37
7588.0,0,38
7510.0,0,39
7585.0,0,40
7150.0,0,41
6987.0,0,42
7332.0,0,43
7399.0,0,44
7365.0,0,45
6989.0,0,46
7106.0,0,47
6965.0,0,48
7072.0,0,49
6864.0,0,50
6819.0,0,51
7423.0,0,52
7693.0,0,53
9198.0,0,54
9166.0,0,55
9082.0,0,56
9103.0,0,57
8342.0,0,58
8022.0,0,59
7706.0,0,60
7593.0,0,61
7689.0,0,62
7491.0,0,63
7427.0,0,64
7593.0,0,65
7585.0,0,66
7399.0,0,67
7574.0,0,68
7746.0,0,69
7413.0,0,70
7210.0,0,71
7191.0,0,72
7328.0,0,73
7583.0,0,74
7417.0,0,75
7660.0,0,76
7496.0,0,77
7590.0,0,78
7570.0,0,79
7518.0,0,80
7521.0,0,81
7649.0,0,82
7963.0,0,83
9420.0,0,84
9645.0,0,85
9564.0,0,86
9212.0,0,87
8339.0,0,88
8077.0,0,89
8042.0,0,90
7766.0,0,91
7682.0,0,92
7537.0,0,93
7948.0,0,94
7913.0,0,95
7836.0,0,96
7889.0,0,97
8137.0,0,98
7982.0,0,99
8024.0,0,100
8135.0,0,101
7836.0,0,102
8091.0,0,103
7845.0,0,104
7953.0,0,105
7812.0,0,106
7993.0,0,107
8169.0,0,108
8186.0,0,109
8153.0,0,110
8367.0,0,111
8005.0,0,112
9003.0,0,113
10068.0,0,114
10048.0,0,115
9881.0,0,116
9367.0,0,117
9141.0,0,118
8796.0,0,119
9006.0,0,120
8903.0,0,121
8317.0,0,122
8370.0,0,123
8419.0,0,124
8775.0,0,125
8698.0,0,126
8604.0,0,127
8564.0,0,128
8551.0,0,129
8089.0,0,130
8538.0,0,131
8347.0,0,132
8760.0,0,133
8857.0,0,134
8617.0,0,135
8573.0,0,136
8517.0,0,137
8727.0,0,138
8845.0,0,139
8774.0,0,140
8578.0,0,141
8515.0,0,142
9158.0,0,143
10134.0,0,144
10611.0,0,145
9955.0,0,146
9806.0,0,147
8940.0,0,148
9186.0,0,149
9008.0,0,150
9187.0,0,151
8847.0,0,152
8764.0,0,153
8892.0,0,154
8696.0,0,155
8929.0,0,156
8487.0,0,157
8783.0,0,158
8629.0,0,159
8734.0,0,160
8838.0,0,161
8618.0,0,162
8628.0,0,163
8565.0,0,164
8326.0,0,165
8658.0,0,166
8497.0,0,167
8351.0,0,168
8656.0,0,169
8353.0,0,170
8171.0,0,171
8147.0,0,172
8714.0,0,173
10365.0,0,174
10496.0,0,175
10501.0,0,176
9879.0,0,177
9165.0,0,178
9175.0,0,179
9233.0,0,180
8748.0,0,181
8733.0,0,182
8813.0,0,183
9129.0,0,184
8990.0,0,185
8934.0,0,186
8734.0,0,187
8870.0,0,188
9336.0,0,189
9236.0,0,190
9093.0,0,191
8863.0,0,192
8828.0,0,193
9184.0,0,194
8969.0,0,195
9014.0,0,196
9038.0,0,197
9232.0,0,198
8767.0,0,199
9204.0,0,200
9004.0,0,201
9092.0,0,202
9187.0,0,203
10300.0,0,204
10392.0,0,205
10575.0,0,206
10770.0,0,207
9571.0,0,208
9759.0,0,209
9478.0,0,210
9094.0,0,211
9167.0,0,212
9253.0,0,213
8692.0,0,214
9081.0,0,215
9017.0,0,216
8772.0,0,217
8885.0,0,218
9126.0,0,219
9258.0,0,220
9043.0,0,221
8919.0,0,222
8616.0,0,223
8953.0,0,224
9031.0,0,225
9281.0,0,226
9188.0,0,227
9245.0,0,228
9095.0,0,229
9037.0,0,230
8870.0,0,231
8919.0,0,232
9552.0,0,233
10606.0,0,234
10606.0,0,235
10642.0,0,236
10668.0,0,237
9698.0,0,238
9806.0,0,239
9927.0,0,240
9284.0,0,241
8926.0,0,242
8529.0,0,243
8882.0,0,244
9077.0,0,245
8882.0,0,246
8870.0,0,247
9004.0,0,248
9116.0,0,249
8984.0,0,250
8961.0,0,251
8879.0,0,252
8960.0,0,253
8662.0,0,254
8790.0,0,255
8645.0,0,256
8854.0,0,257
8897.0,0,258
8581.0,0,259
8504.0,0,260
8174.0,0,261
8924.0,0,262
9139.0,0,263
9992.0,0,264
9917.0,0,265
10003.0,0,266
9609.0,0,267
9011.0,0,268
8692.0,0,269
8881.0,0,270
8662.0,0,271
8637.0,0,272
8117.0,0,273
8203.0,0,274
8188.0,0,275
8252.0,0,276
8126.0,0,277
8369.0,0,278
8472.0,0,279
8286.0,0,280
8527.0,0,281
8350.0,0,282
7944.0,0,283
7672.0,0,284
7832.0,0,285
7775.0,0,286
8015.0,0,287
7864.0,0,288
7917.0,0,289
8051.0,0,290
7617.0,0,291
7949.0,0,292
8246.0,0,293
9373.0,0,294
8873.0,0,295
8164.0,0,296
8139.0,0,297
7835.0,0,298
7483.0,0,299
7754.0,0,300
7541.0,0,301
7430.0,0,302
7319.0,0,303
7564.0,0,304
7363.0,0,305
6993.0,0,306
7197.0,0,307
7203.0,0,308
7197.0,0,309
7272.0,0,310
6968.0,0,311
7046.0,0,312
6911.0,0,313
6867.0,0,314
6900.0,0,315
6905.0,0,316
6973.0,0,317
6955.0,0,318
7014.0,0,319
6796.0,0,320
6938.0,0,321
7087.0,0,322
8086.0,0,323
7055.0,0,324
6506.0,0,325
6626.0,0,326
6565.0,0,327
6685.0,0,328
6293.0,0,329
6357.0,0,330
6716.0,0,331
6304.0,0,332
6248.0,0,333
6348.0,0,334
6351.0,0,335
6451.0,0,336
6469.0,0,337
6293.0,0,338
6300.0,0,339
6124.0,0,340
5934.0,0,341
6004.0,0,342
6046.0,0,343
6123.0,0,344
6092.0,0,345
6124.0,0,346
6044.0,0,347
5720.0,0,348
5920.0,0,349
6132.0,0,350
5829.0,0,351
5957.0,0,352
5841.0,0,353
5862.0,0,354
5810.0,0,355
6058.0,0,356
6107.0,0,357
5549.0,0,358
5970.0,0,359
5934.0,0,360
5684.0,0,361
5650.0,0,362
5698.0,0,363
5735.0,0,364
5528.0,0,365
5482.0,0,366
5639.0,0,367
5733.0,0,368
5697.0,0,369
5366.0,0,370
5458.0,0,371
5392.0,0,372
5481.0,0,373
5169.0,0,374
5403.0,0,375
5198.0,0,376
5319.0,0,377
5137.0,0,378
5083.0,0,379
5088.0,0,380
4915.0,0,381
5060.0,0,382
4878.0,0,383
4990.0,0,384
4989.0,0,385
5008.0,0,386
4907.0,0,387
4848.0,0,388
4813.0,0,389
5211.0,0,390
5000.0,0,391
4879.0,0,392
5039.0,0,393
4667.0,0,394
4652.0,0,395
4543.0,0,396
4576.0,0,397
4992.0,0,398
4868.0,0,399
4669.0,0,400
4636.0,0,401
4506.0,0,402
4541.0,0,403
4707.0,0,404
4382.0,0,405
4653.0,0,406
4407.0,0,407
4411.0,0,408
4394.0,0,409
4481.0,0,410
4438.0,0,411
4675.0,0,412
4792.0,0,413
4530.0,0,414
4313.0,0,415
4493.0,0,416
4340.0,0,417
4514.0,0,418
4342.0,0,419
4288.0,0,420
4512.0,0,421
4282.0,0,422
4056.0,0,423
4261.0,0,424
4102.0,0,425
4155.0,0,426
4255.0,0,427
4464.0,0,428
4436.0,0,429
4091.0,0,430
4340.0,0,431
3996.0,0,432
4214.0,0,433
3942.0,0,434
4097.0,0,435
4163.0,0,436
4026.0,0,437
3802.0,0,438
3964.0,0,439
4227.0,0,440
4000.0,0,441
3872.0,0,442
4027.0,0,443
4493.0,0,444
4095.0,0,445
3785.0,0,446
3792.0,0,447
3834.0,0,448
3808.0,0,449
3955.0,0,450
3994.0,0,451
3666.0,0,452
3830.0,0,453
3743.0,0,454
3872.0,0,455
4000.0,0,456
3972.0,0,457
3972.0,0,458
3863.0,0,459
3837.0,0,460
3909.0,0,461
3753.0,0,462
3710.0,0,463
3663.0,0,464
3471.0,0,465
3595.0,0,466
3511.0,0,467
3508.0,0,468
3578.0,0,469
3525.0,0,470
3548.0,0,471
4018.0,0,472
3908.0,0,473
3898.0,0,474
3987.0,0,475
4084.0,0,476
4142.0,0,477
4119.0,0,478
